source,disease,symptoms,description,text
Orphanet,Macrocephaly-intellectual disability-left ventricular non compaction syndrome,"Relative macrocephaly, Open mouth, Malar flattening, Long face, Prominent nasal bridge, Narrow nasal bridge, Prominent nose, Strabismus, Myopia, Upslanted palpebral fissure",Rare disease with 77 known phenotypic features,"Disease: Macrocephaly-intellectual disability-left ventricular non compaction syndrome | Symptoms: Relative macrocephaly, Open mouth, Malar flattening, Long face, Prominent nasal bridge, Narrow nasal bridge, Prominent nose, Strabismus, Myopia, Upslanted palpebral fissure | Description: Rare disease with 77 known phenotypic features | Source: Orphanet"
Orphanet,X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability,"Global developmental delay, Intellectual disability, moderate, Abnormality of the genitourinary system, Choanal atresia, Abnormality of the eye, Dandy-Walker malformation, Anal atresia, Hypoplasia of the corpus callosum, Abnormal cortical gyration, Short stature",Rare disease with 90 known phenotypic features,"Disease: X-linked female restricted facial dysmorphism-short stature-choanal atresia-intellectual disability | Symptoms: Global developmental delay, Intellectual disability, moderate, Abnormality of the genitourinary system, Choanal atresia, Abnormality of the eye, Dandy-Walker malformation, Anal atresia, Hypoplasia of the corpus callosum, Abnormal cortical gyration, Short stature | Description: Rare disease with 90 known phenotypic features | Source: Orphanet"
Orphanet,X-linked myotubular myopathy-abnormal genitalia syndrome,"Generalized hypotonia, Cryptorchidism, Bifid scrotum, Micropenis, Glandular hypospadias, Penoscrotal hypospadias, Polyhydramnios, Respiratory insufficiency, Penile hypospadias, Blind vagina",Rare disease with 15 known phenotypic features,"Disease: X-linked myotubular myopathy-abnormal genitalia syndrome | Symptoms: Generalized hypotonia, Cryptorchidism, Bifid scrotum, Micropenis, Glandular hypospadias, Penoscrotal hypospadias, Polyhydramnios, Respiratory insufficiency, Penile hypospadias, Blind vagina | Description: Rare disease with 15 known phenotypic features | Source: Orphanet"
Orphanet,X-linked intellectual disability-short stature-overweight syndrome,"High palate, Atypical behavior, Delayed speech and language development, Hypotonia, Intellectual disability, mild, Tremor, Intellectual disability, moderate, Short stature, Overweight, Micropenis",Rare disease with 37 known phenotypic features,"Disease: X-linked intellectual disability-short stature-overweight syndrome | Symptoms: High palate, Atypical behavior, Delayed speech and language development, Hypotonia, Intellectual disability, mild, Tremor, Intellectual disability, moderate, Short stature, Overweight, Micropenis | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Brachydactyly-short stature-retinitis pigmentosa syndrome,"Retinal degeneration, Abnormality of the nervous system, Brachydactyly, Abnormal facial shape, Short stature, Rod-cone dystrophy, Nyctalopia, Delayed speech and language development, Intellectual disability, Global developmental delay",Rare disease with 46 known phenotypic features,"Disease: Brachydactyly-short stature-retinitis pigmentosa syndrome | Symptoms: Retinal degeneration, Abnormality of the nervous system, Brachydactyly, Abnormal facial shape, Short stature, Rod-cone dystrophy, Nyctalopia, Delayed speech and language development, Intellectual disability, Global developmental delay | Description: Rare disease with 46 known phenotypic features | Source: Orphanet"
Orphanet,Hereditary cryohydrocytosis with reduced stomatin,"Cataract, Jaundice, Intellectual disability, Seizure, Global developmental delay, Hepatosplenomegaly, Increased intracellular sodium, Stomatocytosis, Spontaneous hemolytic crises, Postnatal growth retardation",Rare disease with 32 known phenotypic features,"Disease: Hereditary cryohydrocytosis with reduced stomatin | Symptoms: Cataract, Jaundice, Intellectual disability, Seizure, Global developmental delay, Hepatosplenomegaly, Increased intracellular sodium, Stomatocytosis, Spontaneous hemolytic crises, Postnatal growth retardation | Description: Rare disease with 32 known phenotypic features | Source: Orphanet"
Orphanet,X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome,"Low-set ears, Protruding ear, Delayed speech and language development, Intellectual disability, Global developmental delay, Generalized hypotonia, Abnormal facial shape, Hypoplasia of the corpus callosum, Delayed gross motor development, Severe expressive language delay",Rare disease with 45 known phenotypic features,"Disease: X-linked intellectual disability-global development delay-facial dysmorphism-sacral caudal remnant syndrome | Symptoms: Low-set ears, Protruding ear, Delayed speech and language development, Intellectual disability, Global developmental delay, Generalized hypotonia, Abnormal facial shape, Hypoplasia of the corpus callosum, Delayed gross motor development, Severe expressive language delay | Description: Rare disease with 45 known phenotypic features | Source: Orphanet"
Orphanet,CLCN4-related X-linked intellectual disability syndrome,"Global developmental delay, Atypical behavior, Seizure, Cerebral cortical atrophy, Intellectual disability, moderate, Abnormal cerebral white matter morphology, Intellectual disability, severe, Microcephaly, Macrocephaly, Strabismus",Rare disease with 45 known phenotypic features,"Disease: CLCN4-related X-linked intellectual disability syndrome | Symptoms: Global developmental delay, Atypical behavior, Seizure, Cerebral cortical atrophy, Intellectual disability, moderate, Abnormal cerebral white matter morphology, Intellectual disability, severe, Microcephaly, Macrocephaly, Strabismus | Description: Rare disease with 45 known phenotypic features | Source: Orphanet"
Orphanet,Guanidinoacetate methyltransferase deficiency,"Seizure, Atypical behavior, Abnormality of extrapyramidal motor function, Poor speech, Progressive extrapyramidal movement disorder, Intellectual disability, severe, Severe global developmental delay, Abnormality of movement, Autism, Aggressive behavior",Rare disease with 22 known phenotypic features,"Disease: Guanidinoacetate methyltransferase deficiency | Symptoms: Seizure, Atypical behavior, Abnormality of extrapyramidal motor function, Poor speech, Progressive extrapyramidal movement disorder, Intellectual disability, severe, Severe global developmental delay, Abnormality of movement, Autism, Aggressive behavior | Description: Rare disease with 22 known phenotypic features | Source: Orphanet"
Orphanet,Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,"Babinski sign, Abnormality of the dorsal column of the spinal cord, Dysarthria, Gait disturbance, Abnormal cerebellum morphology, Tremor, Progressive cerebellar ataxia, Abnormality of speech or vocalization, Progressive spasticity, Clumsiness",Rare disease with 50 known phenotypic features,"Disease: Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome | Symptoms: Babinski sign, Abnormality of the dorsal column of the spinal cord, Dysarthria, Gait disturbance, Abnormal cerebellum morphology, Tremor, Progressive cerebellar ataxia, Abnormality of speech or vocalization, Progressive spasticity, Clumsiness | Description: Rare disease with 50 known phenotypic features | Source: Orphanet"
Orphanet,Microcephaly-polymicrogyria-corpus callosum agenesis syndrome,"Agenesis of corpus callosum, Cerebellar hypoplasia, Respiratory distress, Ventriculomegaly, Polymicrogyria, Recurrent infections, Congenital microcephaly",Rare disease with 7 known phenotypic features,"Disease: Microcephaly-polymicrogyria-corpus callosum agenesis syndrome | Symptoms: Agenesis of corpus callosum, Cerebellar hypoplasia, Respiratory distress, Ventriculomegaly, Polymicrogyria, Recurrent infections, Congenital microcephaly | Description: Rare disease with 7 known phenotypic features | Source: Orphanet"
Orphanet,Early-onset X-linked optic atrophy,"Progressive visual loss, Optic disc pallor, Color vision defect, Central scotoma, Optic atrophy, Reduced visual acuity, Nystagmus, Emotional lability, Decreased nerve conduction velocity, Intellectual disability",Rare disease with 17 known phenotypic features,"Disease: Early-onset X-linked optic atrophy | Symptoms: Progressive visual loss, Optic disc pallor, Color vision defect, Central scotoma, Optic atrophy, Reduced visual acuity, Nystagmus, Emotional lability, Decreased nerve conduction velocity, Intellectual disability | Description: Rare disease with 17 known phenotypic features | Source: Orphanet"
Orphanet,Partington syndrome,"Triangular face, Intellectual disability, Limb dystonia, Macroorchidism, Intellectual disability, mild, Dysarthria, Gait disturbance, Lower limb spasticity, Intellectual disability, moderate, Delayed speech and language development",Rare disease with 13 known phenotypic features,"Disease: Partington syndrome | Symptoms: Triangular face, Intellectual disability, Limb dystonia, Macroorchidism, Intellectual disability, mild, Dysarthria, Gait disturbance, Lower limb spasticity, Intellectual disability, moderate, Delayed speech and language development | Description: Rare disease with 13 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Stoll type","Malar flattening, Hypertelorism, Long philtrum, Widow's peak, Broad nasal tip, Anteverted nares, Intellectual disability, Large forehead, Frontal bossing, Clinodactyly of the 5th finger",Rare disease with 12 known phenotypic features,"Disease: X-linked intellectual disability, Stoll type | Symptoms: Malar flattening, Hypertelorism, Long philtrum, Widow's peak, Broad nasal tip, Anteverted nares, Intellectual disability, Large forehead, Frontal bossing, Clinodactyly of the 5th finger | Description: Rare disease with 12 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Seemanova type","Cryptorchidism, Hypogonadism, Microcephaly, Retrognathia, Epicanthus, Hypertelorism, Macrotia, Developmental cataract, Intellectual disability, Seizure",Rare disease with 16 known phenotypic features,"Disease: X-linked intellectual disability, Seemanova type | Symptoms: Cryptorchidism, Hypogonadism, Microcephaly, Retrognathia, Epicanthus, Hypertelorism, Macrotia, Developmental cataract, Intellectual disability, Seizure | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,X-linked intellectual disability-craniofacioskeletal syndrome,"Thin upper lip vermilion, Microcephaly, Short philtrum, Short chin, Posteriorly rotated ears, Underdeveloped nasal alae, Intellectual disability, mild, Bilateral ptosis, Pes planus, Toe clinodactyly",Rare disease with 48 known phenotypic features,"Disease: X-linked intellectual disability-craniofacioskeletal syndrome | Symptoms: Thin upper lip vermilion, Microcephaly, Short philtrum, Short chin, Posteriorly rotated ears, Underdeveloped nasal alae, Intellectual disability, mild, Bilateral ptosis, Pes planus, Toe clinodactyly | Description: Rare disease with 48 known phenotypic features | Source: Orphanet"
Orphanet,X-linked cerebral-cerebellar-coloboma syndrome,"Hydrocephalus, Low-set ears, Chorioretinal coloboma, Intellectual disability, Seizure, Global developmental delay, Cerebellar vermis hypoplasia, Ventriculomegaly, Abnormal brainstem morphology, Abnormality of the cerebral cortex",Rare disease with 31 known phenotypic features,"Disease: X-linked cerebral-cerebellar-coloboma syndrome | Symptoms: Hydrocephalus, Low-set ears, Chorioretinal coloboma, Intellectual disability, Seizure, Global developmental delay, Cerebellar vermis hypoplasia, Ventriculomegaly, Abnormal brainstem morphology, Abnormality of the cerebral cortex | Description: Rare disease with 31 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Nascimento type","Wide mouth, Dry skin, Delayed gross motor development, Poor speech, Low hanging columella, Micropenis, Vesicoureteral reflux, Thin vermilion border, Macrocephaly, Hypertelorism",Rare disease with 64 known phenotypic features,"Disease: X-linked intellectual disability, Nascimento type | Symptoms: Wide mouth, Dry skin, Delayed gross motor development, Poor speech, Low hanging columella, Micropenis, Vesicoureteral reflux, Thin vermilion border, Macrocephaly, Hypertelorism | Description: Rare disease with 64 known phenotypic features | Source: Orphanet"
Orphanet,Rolandic epilepsy-speech dyspraxia syndrome,"Delayed speech and language development, Seizure, Speech apraxia, Intellectual disability, Drooling, Bilateral tonic-clonic seizure with focal onset, Focal-onset seizure, EEG with focal sharp waves, EEG with generalized epileptiform discharges, Continuous spike and waves during slow sleep",Rare disease with 18 known phenotypic features,"Disease: Rolandic epilepsy-speech dyspraxia syndrome | Symptoms: Delayed speech and language development, Seizure, Speech apraxia, Intellectual disability, Drooling, Bilateral tonic-clonic seizure with focal onset, Focal-onset seizure, EEG with focal sharp waves, EEG with generalized epileptiform discharges, Continuous spike and waves during slow sleep | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency,"Aplasia/Hypoplasia of the optic nerve, Axial hypotonia, Gastrostomy tube feeding in infancy, Delayed myelination, Profound global developmental delay, Slow pupillary light response, Clonus, Babinski sign, Prolonged neonatal jaundice, Central sleep apnea",Rare disease with 35 known phenotypic features,"Disease: X-linked intellectual disability-limb spasticity-retinal dystrophy-arginine vasopressin deficiency | Symptoms: Aplasia/Hypoplasia of the optic nerve, Axial hypotonia, Gastrostomy tube feeding in infancy, Delayed myelination, Profound global developmental delay, Slow pupillary light response, Clonus, Babinski sign, Prolonged neonatal jaundice, Central sleep apnea | Description: Rare disease with 35 known phenotypic features | Source: Orphanet"
Orphanet,Hypoxanthine guanine phosphoribosyltransferase partial deficiency,"Nephropathy, Intellectual disability, Dystonia, Hyperuricemia, Hyperuricosuria, Renal insufficiency, Abnormality of the nervous system, Uric acid nephrolithiasis, Seizure, Global developmental delay",Rare disease with 18 known phenotypic features,"Disease: Hypoxanthine guanine phosphoribosyltransferase partial deficiency | Symptoms: Nephropathy, Intellectual disability, Dystonia, Hyperuricemia, Hyperuricosuria, Renal insufficiency, Abnormality of the nervous system, Uric acid nephrolithiasis, Seizure, Global developmental delay | Description: Rare disease with 18 known phenotypic features | Source: Orphanet"
Orphanet,Pontocerebellar hypoplasia type 4,"Seizure, Hypertonia, Myoclonus, Polyhydramnios, Abnormal facial shape, Hypoplasia of the brainstem, Arthrogryposis multiplex congenita, Central apnea, Respiratory failure requiring assisted ventilation, Olivopontocerebellar hypoplasia",Rare disease with 14 known phenotypic features,"Disease: Pontocerebellar hypoplasia type 4 | Symptoms: Seizure, Hypertonia, Myoclonus, Polyhydramnios, Abnormal facial shape, Hypoplasia of the brainstem, Arthrogryposis multiplex congenita, Central apnea, Respiratory failure requiring assisted ventilation, Olivopontocerebellar hypoplasia | Description: Rare disease with 14 known phenotypic features | Source: Orphanet"
Orphanet,Native American myopathy,"Myopathic facies, Cryptorchidism, Cleft palate, Hypotonia, Motor delay, Bilateral ptosis, Talipes equinovarus, Muscle weakness, Gastroesophageal reflux, Malignant hyperthermia",Rare disease with 34 known phenotypic features,"Disease: Native American myopathy | Symptoms: Myopathic facies, Cryptorchidism, Cleft palate, Hypotonia, Motor delay, Bilateral ptosis, Talipes equinovarus, Muscle weakness, Gastroesophageal reflux, Malignant hyperthermia | Description: Rare disease with 34 known phenotypic features | Source: Orphanet"
Orphanet,Combined oxidative phosphorylation defect type 13,"Intrauterine growth retardation, Abnormality of the basal ganglia, Orofacial dyskinesia, Hip contracture, Subsarcolemmal accumulations of abnormally shaped mitochondria, Type 2 muscle fiber atrophy, Type 1 muscle fiber predominance, Ankle flexion contracture, Lower limb hypertonia, Gastrostomy tube feeding in infancy",Rare disease with 33 known phenotypic features,"Disease: Combined oxidative phosphorylation defect type 13 | Symptoms: Intrauterine growth retardation, Abnormality of the basal ganglia, Orofacial dyskinesia, Hip contracture, Subsarcolemmal accumulations of abnormally shaped mitochondria, Type 2 muscle fiber atrophy, Type 1 muscle fiber predominance, Ankle flexion contracture, Lower limb hypertonia, Gastrostomy tube feeding in infancy | Description: Rare disease with 33 known phenotypic features | Source: Orphanet"
Orphanet,Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome,"Wide mouth, Thin upper lip vermilion, Facial grimacing, Short philtrum, Broad forehead, Broad nasal tip, Hyperopic astigmatism, Strabismus, Hyperactivity, Global developmental delay",Rare disease with 48 known phenotypic features,"Disease: Severe intellectual disability-poor language-strabismus-grimacing face-long fingers syndrome | Symptoms: Wide mouth, Thin upper lip vermilion, Facial grimacing, Short philtrum, Broad forehead, Broad nasal tip, Hyperopic astigmatism, Strabismus, Hyperactivity, Global developmental delay | Description: Rare disease with 48 known phenotypic features | Source: Orphanet"
Orphanet,Bainbridge-Ropers syndrome,"Intellectual disability, Global developmental delay, Abnormality of speech or vocalization, Feeding difficulties in infancy, Floppy infant, Microcephaly, Strabismus, Autistic behavior, Abnormality of the skeletal system, Absent speech",Rare disease with 41 known phenotypic features,"Disease: Bainbridge-Ropers syndrome | Symptoms: Intellectual disability, Global developmental delay, Abnormality of speech or vocalization, Feeding difficulties in infancy, Floppy infant, Microcephaly, Strabismus, Autistic behavior, Abnormality of the skeletal system, Absent speech | Description: Rare disease with 41 known phenotypic features | Source: Orphanet"
Orphanet,SLC35A2-CDG,"Abnormality of the nervous system, Abnormality of the skeletal system, Intellectual disability, Seizure, Global developmental delay, Hypsarrhythmia, Floppy infant, Microcephaly, Abnormality of the eye, Abnormality of the skin",Rare disease with 74 known phenotypic features,"Disease: SLC35A2-CDG | Symptoms: Abnormality of the nervous system, Abnormality of the skeletal system, Intellectual disability, Seizure, Global developmental delay, Hypsarrhythmia, Floppy infant, Microcephaly, Abnormality of the eye, Abnormality of the skin | Description: Rare disease with 74 known phenotypic features | Source: Orphanet"
Orphanet,Medium chain acyl-CoA dehydrogenase deficiency,"Hypotonia, Reduced tendon reflexes, Decreased liver function, Hyperammonemia, Vomiting, Hepatomegaly, Dicarboxylic aciduria, Fatigable weakness, Proximal muscle weakness, Exercise-induced myalgia",Rare disease with 37 known phenotypic features,"Disease: Medium chain acyl-CoA dehydrogenase deficiency | Symptoms: Hypotonia, Reduced tendon reflexes, Decreased liver function, Hyperammonemia, Vomiting, Hepatomegaly, Dicarboxylic aciduria, Fatigable weakness, Proximal muscle weakness, Exercise-induced myalgia | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Dysferlin-related limb-girdle muscular dystrophy R2,"Elevated circulating creatine kinase concentration, Lower limb muscle weakness, Proximal muscle weakness in lower limbs, Reduced tendon reflexes, Cardiomegaly, Right ventricular hypertrophy, Pes cavus, Abnormal EKG, Hyperlordosis, Difficulty climbing stairs",Rare disease with 29 known phenotypic features,"Disease: Dysferlin-related limb-girdle muscular dystrophy R2 | Symptoms: Elevated circulating creatine kinase concentration, Lower limb muscle weakness, Proximal muscle weakness in lower limbs, Reduced tendon reflexes, Cardiomegaly, Right ventricular hypertrophy, Pes cavus, Abnormal EKG, Hyperlordosis, Difficulty climbing stairs | Description: Rare disease with 29 known phenotypic features | Source: Orphanet"
Orphanet,Very long chain acyl-CoA dehydrogenase deficiency,"Increased circulating free fatty acid level, Jaundice, Small for gestational age, Ventricular septal defect, Atrial septal defect, Patent foramen ovale, Hypoketotic hypoglycemia, Hypothermia, Respiratory distress, Hepatomegaly",Rare disease with 40 known phenotypic features,"Disease: Very long chain acyl-CoA dehydrogenase deficiency | Symptoms: Increased circulating free fatty acid level, Jaundice, Small for gestational age, Ventricular septal defect, Atrial septal defect, Patent foramen ovale, Hypoketotic hypoglycemia, Hypothermia, Respiratory distress, Hepatomegaly | Description: Rare disease with 40 known phenotypic features | Source: Orphanet"
Orphanet,Tenosynovial giant cell tumor,"Arthralgia, Arthritis, Limitation of joint mobility, Joint swelling, Joint stiffness, Osteolysis, Abnormality of the knee, Joint hemorrhage, Abnormality of the auditory canal, Conductive hearing impairment",Rare disease with 24 known phenotypic features,"Disease: Tenosynovial giant cell tumor | Symptoms: Arthralgia, Arthritis, Limitation of joint mobility, Joint swelling, Joint stiffness, Osteolysis, Abnormality of the knee, Joint hemorrhage, Abnormality of the auditory canal, Conductive hearing impairment | Description: Rare disease with 24 known phenotypic features | Source: Orphanet"
Orphanet,Young-onset Parkinson disease,"Reduced social responsiveness, Rigidity, Depression, Hallucinations, Apathy, Tremor, Postural instability, Dyskinesia, Color vision defect, Dementia",Rare disease with 34 known phenotypic features,"Disease: Young-onset Parkinson disease | Symptoms: Reduced social responsiveness, Rigidity, Depression, Hallucinations, Apathy, Tremor, Postural instability, Dyskinesia, Color vision defect, Dementia | Description: Rare disease with 34 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Schimke type","Hearing impairment, External ophthalmoplegia, Intellectual disability, Spasticity, Global developmental delay, Choreoathetosis, Absent speech, Failure to thrive in infancy, Poor suck, Poor head control",Rare disease with 26 known phenotypic features,"Disease: X-linked intellectual disability, Schimke type | Symptoms: Hearing impairment, External ophthalmoplegia, Intellectual disability, Spasticity, Global developmental delay, Choreoathetosis, Absent speech, Failure to thrive in infancy, Poor suck, Poor head control | Description: Rare disease with 26 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Stocco Dos Santos type","Hirsutism, Seizure, Small for gestational age, Talipes equinovarus, Recurrent respiratory infections, Kyphosis, Short stature, Depressed nasal bridge, Congenital bilateral hip dislocation, Intellectual disability, severe",Rare disease with 17 known phenotypic features,"Disease: X-linked intellectual disability, Stocco Dos Santos type | Symptoms: Hirsutism, Seizure, Small for gestational age, Talipes equinovarus, Recurrent respiratory infections, Kyphosis, Short stature, Depressed nasal bridge, Congenital bilateral hip dislocation, Intellectual disability, severe | Description: Rare disease with 17 known phenotypic features | Source: Orphanet"
Orphanet,"X-linked intellectual disability, Wilson type","Wide mouth, Brachycephaly, Mandibular prognathia, Square face, Seizure, Growth delay, Mutism, Recurrent infections, Abnormal position of hair whorl, Intellectual disability, severe",Rare disease with 16 known phenotypic features,"Disease: X-linked intellectual disability, Wilson type | Symptoms: Wide mouth, Brachycephaly, Mandibular prognathia, Square face, Seizure, Growth delay, Mutism, Recurrent infections, Abnormal position of hair whorl, Intellectual disability, severe | Description: Rare disease with 16 known phenotypic features | Source: Orphanet"
Orphanet,Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome,"Spasticity, Muscle weakness, Growth delay, Hypoplasia of the corpus callosum, Cerebral cortical atrophy, Skeletal muscle atrophy, Optic atrophy, Global developmental delay, Cerebellar atrophy, Absent speech",Rare disease with 56 known phenotypic features,"Disease: Early-onset progressive diffuse brain atrophy-microcephaly-muscle weakness-optic atrophy syndrome | Symptoms: Spasticity, Muscle weakness, Growth delay, Hypoplasia of the corpus callosum, Cerebral cortical atrophy, Skeletal muscle atrophy, Optic atrophy, Global developmental delay, Cerebellar atrophy, Absent speech | Description: Rare disease with 56 known phenotypic features | Source: Orphanet"
Orphanet,Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome,"Intellectual disability, mild, Global developmental delay, Poor speech, Abnormality of the dentition, Facial asymmetry, Micrognathia, High forehead, Synophrys, Dental crowding, Atypical behavior",Rare disease with 55 known phenotypic features,"Disease: Micrognathia-recurrent infections-behavioral abnormalities-mild intellectual disability syndrome | Symptoms: Intellectual disability, mild, Global developmental delay, Poor speech, Abnormality of the dentition, Facial asymmetry, Micrognathia, High forehead, Synophrys, Dental crowding, Atypical behavior | Description: Rare disease with 55 known phenotypic features | Source: Orphanet"
Orphanet,Alacrimia-choreoathetosis-liver dysfunction syndrome,"Decreased CSF homovanillic acid concentration, Hypotriglyceridemia, Abnormal myelination, Chronic constipation, Decreased CSF 5-hydroxyindolacetic acid concentration, Decreased CSF protein, Decreased CSF albumin, Pigmentary retinopathy, Optic atrophy, Bilateral ptosis",Rare disease with 91 known phenotypic features,"Disease: Alacrimia-choreoathetosis-liver dysfunction syndrome | Symptoms: Decreased CSF homovanillic acid concentration, Hypotriglyceridemia, Abnormal myelination, Chronic constipation, Decreased CSF 5-hydroxyindolacetic acid concentration, Decreased CSF protein, Decreased CSF albumin, Pigmentary retinopathy, Optic atrophy, Bilateral ptosis | Description: Rare disease with 91 known phenotypic features | Source: Orphanet"
Orphanet,Helsmoortel-Van der Aa syndrome,"Urinary incontinence, Autistic behavior, Delayed speech and language development, Global developmental delay, Abnormality of speech or vocalization, Reduced social responsiveness, Compulsive behaviors, Anxiety, Abnormality of finger, Joint hypermobility",Rare disease with 80 known phenotypic features,"Disease: Helsmoortel-Van der Aa syndrome | Symptoms: Urinary incontinence, Autistic behavior, Delayed speech and language development, Global developmental delay, Abnormality of speech or vocalization, Reduced social responsiveness, Compulsive behaviors, Anxiety, Abnormality of finger, Joint hypermobility | Description: Rare disease with 80 known phenotypic features | Source: Orphanet"
Orphanet,Romano-Ward syndrome,"Prolonged QTc interval, Syncope, Sinus bradycardia, Abnormal T-wave, Seizure, Sudden cardiac death, Torsade de pointes, Ventricular arrhythmia, Abnormal autonomic nervous system physiology, Abnormal cardiac exercise stress test",Rare disease with 13 known phenotypic features,"Disease: Romano-Ward syndrome | Symptoms: Prolonged QTc interval, Syncope, Sinus bradycardia, Abnormal T-wave, Seizure, Sudden cardiac death, Torsade de pointes, Ventricular arrhythmia, Abnormal autonomic nervous system physiology, Abnormal cardiac exercise stress test | Description: Rare disease with 13 known phenotypic features | Source: Orphanet"
Orphanet,TARP syndrome,"Pierre-Robin sequence, Atrial septal defect, Talipes equinovarus, Persistent left superior vena cava, Glossoptosis, Cleft palate, Hypertelorism, Sloping forehead, Micrognathia, Wide nasal bridge",Rare disease with 55 known phenotypic features,"Disease: TARP syndrome | Symptoms: Pierre-Robin sequence, Atrial septal defect, Talipes equinovarus, Persistent left superior vena cava, Glossoptosis, Cleft palate, Hypertelorism, Sloping forehead, Micrognathia, Wide nasal bridge | Description: Rare disease with 55 known phenotypic features | Source: Orphanet"
Orphanet,Tatton-Brown-Rahman syndrome,"Macrocephaly, Proportionate tall stature, Atypical behavior, Obesity, Intellectual disability, moderate, Kyphoscoliosis, Floppy infant, Cryptorchidism, Coarse facial features, Round face",Rare disease with 40 known phenotypic features,"Disease: Tatton-Brown-Rahman syndrome | Symptoms: Macrocephaly, Proportionate tall stature, Atypical behavior, Obesity, Intellectual disability, moderate, Kyphoscoliosis, Floppy infant, Cryptorchidism, Coarse facial features, Round face | Description: Rare disease with 40 known phenotypic features | Source: Orphanet"
Orphanet,Juvenile nasopharyngeal angiofibroma,"Juvenile nasopharyngeal angiofibroma, Facial edema, Epistaxis, Proptosis, Diplopia, Nasal congestion, Increased intracranial pressure, Juvenile colonic polyposis",Rare disease with 8 known phenotypic features,"Disease: Juvenile nasopharyngeal angiofibroma | Symptoms: Juvenile nasopharyngeal angiofibroma, Facial edema, Epistaxis, Proptosis, Diplopia, Nasal congestion, Increased intracranial pressure, Juvenile colonic polyposis | Description: Rare disease with 8 known phenotypic features | Source: Orphanet"
Orphanet,Malan overgrowth syndrome,"Accelerated skeletal maturation, Tall stature, Macrocephaly, Narrow face, Oval face, High forehead, Strabismus, Downslanted palpebral fissures, Pectus excavatum, Neonatal hypotonia",Rare disease with 38 known phenotypic features,"Disease: Malan overgrowth syndrome | Symptoms: Accelerated skeletal maturation, Tall stature, Macrocephaly, Narrow face, Oval face, High forehead, Strabismus, Downslanted palpebral fissures, Pectus excavatum, Neonatal hypotonia | Description: Rare disease with 38 known phenotypic features | Source: Orphanet"
Orphanet,Birk-Barel syndrome,"Open mouth, Dolichocephaly, Broad philtrum, Short philtrum, Hypomimic face, Narrow forehead, Micrognathia, Protruding ear, Narrow nasal bridge, Broad nasal tip",Rare disease with 33 known phenotypic features,"Disease: Birk-Barel syndrome | Symptoms: Open mouth, Dolichocephaly, Broad philtrum, Short philtrum, Hypomimic face, Narrow forehead, Micrognathia, Protruding ear, Narrow nasal bridge, Broad nasal tip | Description: Rare disease with 33 known phenotypic features | Source: Orphanet"
Orphanet,Pontocerebellar hypoplasia type 7,"Cryptorchidism, Ambiguous genitalia, Thick upper lip vermilion, High palate, Microcephaly, Epicanthus, Micrognathia, Macrotia, Wide nasal bridge, Intellectual disability",Rare disease with 37 known phenotypic features,"Disease: Pontocerebellar hypoplasia type 7 | Symptoms: Cryptorchidism, Ambiguous genitalia, Thick upper lip vermilion, High palate, Microcephaly, Epicanthus, Micrognathia, Macrotia, Wide nasal bridge, Intellectual disability | Description: Rare disease with 37 known phenotypic features | Source: Orphanet"
Orphanet,Isolated childhood apraxia of speech,"Delayed speech and language development, Abnormality of speech or vocalization, Dysarthria, Specific learning disability, Poor speech, Expressive language delay, Incomprehensible speech, Grammar-specific speech disorder, Poor fine motor coordination, Receptive language delay",Rare disease with 23 known phenotypic features,"Disease: Isolated childhood apraxia of speech | Symptoms: Delayed speech and language development, Abnormality of speech or vocalization, Dysarthria, Specific learning disability, Poor speech, Expressive language delay, Incomprehensible speech, Grammar-specific speech disorder, Poor fine motor coordination, Receptive language delay | Description: Rare disease with 23 known phenotypic features | Source: Orphanet"
